cross,fert,mi,fert_sqrt
L31-L56,9.78,3,3.127299154
L31-U94,33.77,76,5.81119609
L31-M2,37.5,31,6.123724357
L31-M8,56.79,29,7.535914012
L56-U94,38.42,73,6.198386887
L56-M2,37.84,28,6.1514226
L56-M8,95.8,26,9.787747443
U94-M2,38.36,45,6.193545027
U94-M8,83.08,47,9.114823092
M2-M8,44.79,2,6.692533153
L56-L31,75.11,3,8.666602564
U94-L31,67.96,76,8.243785538
M2-L31,29.41,31,5.423098745
M8-L31,11.45,29,3.383784863
U94-L56,19,73,4.358898944
M2-L56,6.55,28,2.559296778
M8-L56,3.79,26,1.946792233
M2-U94,34.81,45,5.9
M8-U94,17.71,47,4.208325083
M8-M2,0.58,2,0.761577311
K1-B8 ,2.732240437,67,1.005121946
K1-L1 ,27.52689497,55,3.315163526
K1-L7 ,20.38162783,63,3.014633899
K1-M5 ,59.0104789,32,4.077715037
K1-U39 ,43.95839817,2,3.783243691
K1-L31 ,31.1887019,62,3.440055911
K1-M13 ,50.22544283,33,3.916521728
K1-U77 ,0.916573139,16,-0.087113412
K1-U106 ,10.61119197,10,2.36190929
B8-L1 ,34.21652422,111,3.532708692
B8-L7 ,28.15965427,117,3.337890254
B8-M5 ,86.76470588,93,4.463199925
B8-U39 ,50.48993722,69,3.921774053
B8-L31 ,43.94851738,118,3.783018889
B8-M13 ,74.72222222,94,4.313777534
B8-U77 ,1.36009636,81,0.30755555
B8-U106 ,13.52699408,58,2.60468725
L1-L7 ,16.78018278,9,2.820198594
L1-M5 ,54.0347664,23,3.989627662
L1-U39 ,23.93673195,53,3.175414181
L1-L31 ,34.87716084,7,3.551832198
L1-M13 ,55.80884318,22,4.021932337
L1-U77 ,9.486701363,39,2.249890961
L1-U106 ,12.42724868,64,2.519891536
L7-M5 ,61.41287486,32,4.117619501
L7-U39 ,33.72643617,62,3.518281986
L7-L31 ,46.82125604,3,3.846337289
L7-M13 ,60.70572175,31,4.106037956
L7-U77 ,16.57236842,48,2.807736755
L7-U106 ,7.848897135,73,2.06037303
M5-U39 ,23.92810791,31,3.175053831
M5-L31 ,29.40907331,30,3.381303243
M5-M13 ,33.00803159,1,3.496750913
M5-U77 ,11.99331898,16,2.484349743
M5-U106 ,6.807181889,42,1.917978215
U39-L31 ,29.78783321,61,3.394100029
U39-M13 ,32.87659201,32,3.492760915
U39-U77 ,16.8396867,15,2.823738404
U39-U106 ,8.912037037,12,2.187402839
L31-M13 ,58.08080808,29,4.061835284
L31-U77 ,21.88548538,46,3.085823649
L31-U106 ,28.36246201,72,3.345066511
M13-U77 ,15.76035782,17,2.757497788
M13-U106 ,14.00759734,43,2.63959985
U77-U106 ,25.18199234,27,3.226129149
B8-K1 ,0.529100529,67,0.727392967
L1-K1 ,18.36572152,55,4.285524649
L7-K1 ,41.44728238,63,6.437956382
M5-K1 ,16.45210728,32,4.056119732
U39-K1 ,19.17177629,2,4.3785587
L31-K1 ,33.30174656,62,5.770766549
M13-K1 ,25.14619883,33,5.014598571
U77-K1 ,1.537176274,16,1.239829131
U106-K1 ,39.91013072,10,6.317446535
L1-B8 ,78.81241565,111,8.877635702
L7-B8 ,91.99284512,117,9.591290065
M5-B8 ,47.81754799,93,6.915023354
U39-B8 ,60.66531685,69,7.788794313
L31-B8 ,86.94388049,118,9.324370246
M13-B8 ,38.17805777,94,6.178839516
U77-B8 ,0.529100529,81,0.727392967
U106-B8 ,82.99341682,58,9.110072273
L7-L1 ,31.52875587,9,5.615047272
M5-L1 ,23.19790538,23,4.816420391
U39-L1 ,27.93317793,53,5.285184758
L31-L1 ,28.82498058,7,5.36889007
M13-L1 ,21.41614221,22,4.627757795
U77-L1 ,34.5190175,39,5.875288716
U106-L1 ,32.62626263,64,5.711940356
M5-L7 ,12.19047619,32,3.491486244
U39-L7 ,16.01909995,62,4.002386782
L31-L7 ,24.53383616,3,4.953164257
M13-L7 ,15.60558683,31,3.950390719
U77-L7 ,31.83596891,48,5.642337185
U106-L7 ,31.1323764,73,5.579639451
U39-M5 ,16.08045977,31,4.010044859
L31-M5 ,70.22357724,30,8.379950909
M13-M5 ,32.14098979,1,5.669302408
U77-M5 ,77.89767379,16,8.825965884
U106-M5 ,48.37094586,42,6.954922419
L31-U39 ,45.15669516,61,6.719873151
M13-U39 ,25.49223417,32,5.048983479
U77-U39 ,51.13378685,15,7.150789247
U106-U39 ,52.44278046,12,7.241738773
M13-L31 ,33.3974359,29,5.779051471
U77-L31 ,49.98481823,46,7.069994217
U106-L31 ,42.33875587,72,6.506823793
U77-M13 ,60.37131196,17,7.769897809
U106-M13 ,66.3823178,43,8.147534461
U106-U77 ,39.50734471,27,6.285486832
