cross,fert,time
BA1,71.42857143,1
BA2,74.24242424,2
BA3,79.66101695,3
CA1,71.42857143,4
CA2,71.66666667,5
CA3,60.78431373,6
DA1,15.68627451,7
DA2,15.06849315,8
DA3,31.94444444,9
EA1,45.78313253,10
EA2,14.51612903,11
EA3,27.94117647,12
FA1,4.819277108,13
FA2,11.68831169,14
FA3,17.85714286,15
AB1,8.955223881,16
AB2,3.703703704,17
AB3,16.66666667,18
CB1,24.09638554,19
CB2,12.67605634,20
CB3,20.23809524,21
DB1,2.857142857,22
DB2,2.816901408,23
DB3,1.470588235,24
EB1,8.955223881,25
EB2,3.797468354,26
EB3,6.896551724,27
FB1,4.47761194,28
FB2,6.896551724,29
FB3,0,30
AC1,39.68253968,31
AC2,32.0754717,32
AC3,29.54545455,33
BC1,33.78378378,34
BC2,36.20689655,35
BC3,45.28301887,36
DC1,25,37
DC2,28.33333333,38
DC3,18.51851852,39
EC1,20.96774194,40
EC2,53.44827586,41
EC3,30,42
FC1,10.90909091,43
FC2,23.63636364,44
FC3,18.57142857,45
AD1,55.35714286,46
AD2,25,47
AD3,39.62264151,48
BD1,52.45901639,49
BD2,58.06451613,50
BD3,42.85714286,51
CD1,22.72727273,52
CD2,27.69230769,53
CD3,26,54
ED1,17.14285714,55
ED2,18,56
ED3,13.79310345,57
FD1,24.3902439,58
FD2,2.564102564,59
FD3,6.12244898,60
AE1,36.23188406,61
AE2,41.17647059,62
AE3,35.0877193,63
BE1,38.70967742,64
BE2,27.27272727,65
BE3,47.54098361,66
CE1,30.50847458,67
CE2,36.95652174,68
CE3,47.61904762,69
DE1,0,70
DE2,7.692307692,71
DE3,6.52173913,72
FE1,1.754385965,73
FE2,0,74
FE3,0,75
AF1,72.72727273,76
AF2,70.37037037,77
AF3,27.27272727,78
BF1,94.28571429,79
BF2,96.875,80
BF3,96.22641509,81
CF1,90,82
CF2,90,83
CF3,69.23076923,84
DF1,0,85
DF2,0,86
DF3,0,87
EF1,64.51612903,88
EF2,16.66666667,89
EF3,53.19148936,90
