cross,fert,mi,fert_sq,mi_sq,fert_sqrt,mi_sqrt
B8-U38,98.37398374,66,9677.440677,4356,9.918365981,8.124038405
U50-B8,87.17634567,67,7599.715244,4489,9.336827388,8.185352772
U94-B8,88.80461954,54,7886.260452,2916,9.423620299,7.348469228
U38-U50,64.12309368,1,4111.771143,1,8.007689659,1
U38-U94,50.39650538,14,2539.807755,196,7.099049611,3.741657387
U50-U94,37.47303622,15,1404.228444,225,6.121522378,3.872983346
U38-B8,79.12898059,66,6261.395569,4356,8.895447183,8.124038405
B8-U50,71.64005648,67,5132.297692,4489,8.464044924,8.185352772
B8-U94,83.68451449,54,7003.097965,2916,9.147924054,7.348469228
U50-U38,96.48926237,1,9310.177753,1,9.822894806,1
U94-U38,90.4885549,14,8188.178568,196,9.512547235,3.741657387
U94-U50,65.40308691,15,4277.563777,225,8.087217501,3.872983346
U24-U94,79.48637317,30,6318.08352,900,8.915513063,5.477225575
U94-U24,23.73305615,30,563.2579542,900,4.87165846,5.477225575
U24-M13,73.62463925,18,5420.587505,324,8.580480129,4.242640687
M13-U24,67.92464187,18,4613.756973,324,8.241640727,4.242640687
U24-U50,71.94211018,15,5175.667217,225,8.481869498,3.872983346
U50-U24,57.44650543,15,3300.100986,225,7.579347296,3.872983346
U24-U32,63.04893194,15,3975.167819,225,7.940335757,3.872983346
U32-U24,88.47753543,15,7828.274276,225,9.406249807,3.872983346
U24-U12,37.49503431,12,1405.877598,144,6.123318897,3.464101615
U12-U24,79.62831187,12,6340.668051,144,8.923469721,3.464101615
U24-U16,78.06823217,26,6094.648874,676,8.835622908,5.099019514
U16-U24,82.81196785,26,6857.822019,676,9.100108123,5.099019514
U24-U4,54.30542167,16,2949.078823,256,7.369221239,4
U4-U24,34.85380117,16,1214.787456,256,5.903710797,4
U94-M13,54.91587944,47,3015.753815,2209,7.41052491,6.8556546
M13-U94,80,47,6400,2209,8.94427191,6.8556546
U94-U50,78.56084078,15,6171.805704,225,8.863455352,3.872983346
U50-U94,25.75078238,15,663.1027932,225,5.074522872,3.872983346
U94-U32,4.640593657,15,21.53510949,225,2.154203718,3.872983346
U32-U94,3.558980004,15,12.66633867,225,1.886525909,3.872983346
U94-U12,19.32789433,18,373.5674992,324,4.396350115,4.242640687
U12-U94,88.44086022,18,7821.785756,324,9.404300092,4.242640687
U94-U16,66.31701632,3,4397.946654,9,8.143526037,1.732050808
U16-U94,76.93722944,3,5919.337274,9,8.771386974,1.732050808
U94-U4,84.45578231,14,7132.779166,196,9.189982715,3.741657387
U4-U94,61.94026892,14,3836.596914,196,7.870214033,3.741657387
M13-U50,82.56334497,33,6816.705933,1089,9.086437419,5.744562647
U50-M13,65.4382248,33,4282.161265,1089,8.089389643,5.744562647
M13-U32,61.11291486,33,3734.788363,1089,7.817474967,5.744562647
U32-M13,99.14529915,33,9829.790344,1089,9.957173251,5.744562647
M13-U12,48.16249429,30,2319.625856,900,6.939920337,5.477225575
U12-M13,97.71011396,30,9547.26637,900,9.884842637,5.477225575
M13-U16,79.40161572,44,6304.616579,1936,8.910758426,6.633249581
U16-M13,71.3221824,44,5086.853702,1936,8.445246142,6.633249581
M13-U4,74.89020641,33,5608.543016,1089,8.65391278,5.744562647
U4-M13,85.62573099,33,7331.765808,1089,9.25341726,5.744562647
U50-U32,38.56214428,1,1487.038971,1,6.209842533,1
U32-U50,82.00418629,1,6724.686569,1,9.055616284,1
U50-U12,18.8730341,3,356.1914161,9,4.344310544,1.732050808
U12-U50,77.27272727,3,5971.07438,9,8.79049073,1.732050808
U50-U16,40.65711391,12,1653.000911,144,6.376293117,3.464101615
U16-U50,68.86353203,12,4742.186044,144,8.298405391,3.464101615
U50-U4,42.67406104,2,1821.075486,4,6.532538637,1.414213562
U4-U50,76.52474783,2,5856.03703,4,8.747842467,1.414213562
U32-U12,69.88176698,3,4883.461356,9,8.359531505,1.732050808
U12-U32,69.31450946,3,4804.501222,9,8.325533584,1.732050808
U32-U16,89.21460057,11,7959.244955,121,9.445348092,3.31662479
U16-U32,54.01213739,11,2917.310985,121,7.349295027,3.31662479
U32-U4,75.24748511,1,5662.184015,1,8.674530829,1
U4-U32,46.15157174,1,2129.967574,1,6.79349481,1
U12-U16,84.52380952,15,7144.274376,225,9.193683131,3.872983346
U16-U12,40.72032559,15,1658.144916,225,6.381247965,3.872983346
U12-U4,6.184055446,4,38.24254176,16,2.486776115,2
U4-U12,7.250438967,4,52.56886521,16,2.692663916,2
U16-U4,80.76907001,11,6523.64267,121,8.987161399,3.31662479
U4-U16,48.24738614,11,2327.810269,121,6.946033842,3.31662479
