Night,fert,Year
8/22/2019,2.687332568,Year 1 (2019)
8/22/2019,4.699196804,Year 1 (2019)
8/22/2019,2.160493827,Year 1 (2019)
8/22/2019,1.745002246,Year 1 (2019)
8/23/2019,0.9,Year 1 (2019)
8/23/2019,1.26,Year 1 (2019)
8/23/2019,1.76,Year 1 (2019)
8/23/2019,0,Year 1 (2019)
8/23/2019,1.01,Year 1 (2019)
8/23/2019,1.44,Year 1 (2019)
8/13/2022,6.34,Year 2 (2022)
8/13/2022,4.21,Year 2 (2022)
8/13/2022,8.11,Year 2 (2022)
8/13/2022,4.6,Year 2 (2022)
8/13/2022,1.51,Year 2 (2022)
8/13/2022,1.59,Year 2 (2022)
8/15/2022,0.38,Year 2 (2022)
8/15/2022,2.73,Year 2 (2022)
8/15/2022,0.49,Year 2 (2022)
8/15/2022,0,Year 2 (2022)
8/15/2022,1.61,Year 2 (2022)
8/15/2022,7.32,Year 2 (2022)
8/15/2022,12.02,Year 2 (2022)
8/15/2022,2.29,Year 2 (2022)
8/15/2022,5.32,Year 2 (2022)
