Night,fert,Year,Species
8/22/2019,2.69,Year 1 (2019),ACER
8/22/2019,4.7,Year 1 (2019),ACER
8/22/2019,2.16,Year 1 (2019),ACER
8/22/2019,1.75,Year 1 (2019),ACER
8/23/2019,0.9,Year 1 (2019),ACER
8/23/2019,1.26,Year 1 (2019),ACER
8/23/2019,32.94,Year 1 (2019),ACER
8/23/2019,1.76,Year 1 (2019),ACER
8/23/2019,0,Year 1 (2019),ACER
8/23/2019,15.91,Year 1 (2019),ACER
8/23/2019,1.01,Year 1 (2019),ACER
8/23/2019,1.44,Year 1 (2019),ACER
8/22/2019,3.67,Year 1 (2019),OFAV
8/22/2019,1.57,Year 1 (2019),OFAV
8/22/2019,1.19,Year 1 (2019),OFAV
8/22/2019,3.45,Year 1 (2019),OFAV
8/22/2019,6.58,Year 1 (2019),OFAV
8/22/2019,4.46,Year 1 (2019),OFAV
8/22/2019,2.72,Year 1 (2019),OFAV
8/22/2019,6.42,Year 1 (2019),OFAV
8/22/2019,2.93,Year 1 (2019),OFAV
8/22/2019,6.68,Year 1 (2019),OFAV
8/23/2019,1.33,Year 1 (2019),OFAV
8/23/2019,0.54,Year 1 (2019),OFAV
8/23/2019,0.96,Year 1 (2019),OFAV
8/23/2019,2.42,Year 1 (2019),OFAV
8/23/2019,2.93,Year 1 (2019),OFAV
8/13/2022,6.34,Year 2 (2022),ACER
8/13/2022,4.21,Year 2 (2022),ACER
8/13/2022,8.11,Year 2 (2022),ACER
8/13/2022,4.6,Year 2 (2022),ACER
8/13/2022,1.51,Year 2 (2022),ACER
8/13/2022,1.59,Year 2 (2022),ACER
8/15/2022,0.38,Year 2 (2022),ACER
8/15/2022,2.73,Year 2 (2022),ACER
8/15/2022,0.49,Year 2 (2022),ACER
8/15/2022,0,Year 2 (2022),ACER
8/15/2022,1.61,Year 2 (2022),ACER
8/15/2022,7.32,Year 2 (2022),ACER
8/15/2022,12.02,Year 2 (2022),ACER
8/15/2022,25.44,Year 2 (2022),ACER
8/15/2022,2.29,Year 2 (2022),ACER
8/15/2022,5.32,Year 2 (2022),ACER
8/17/2022,0.45,Year 2 (2022),OFAV
8/17/2022,0.31,Year 2 (2022),OFAV
8/17/2022,0.55,Year 2 (2022),OFAV
8/17/2022,6.01,Year 2 (2022),OFAV
8/17/2022,0.13,Year 2 (2022),OFAV
8/17/2022,0,Year 2 (2022),ACER
8/13/2022,0,Year 2 (2022),OFAV
8/15/2022,0,Year 2 (2022),OFAV
